"","PREC","TEMP","WIND_SPEED","RH","y"
"8905",14,295.35,1,96.9,"neg"
"7518",0,301.35,0.1,95.2,"neg"
"8441",0,298.65,1,99.9,"neg"
"9326",0,296.35,7.8,99.6,"neg"
"5539",0,298.05,0.5,99.3,"neg"
"6658",3.5,296.95,0.6,100,"neg"
"5338",0,297.05,0.4,99.8,"neg"
"9073",0,298.15,0.8,99.6,"neg"
"8238",0,296.55,0.3,99.9,"neg"
"4816",0,295.95,0.1,99.9,"neg"
"9306",0.5,298.25,1.1,99.9,"neg"
"8790",0.5,295.45,11.7,83.5,"neg"
"5421",0,263.65,0.9,91.6,"neg"
"7314",9.5,294.15,6.7,99.9,"neg"
"7850",0,299.65,1.6,99,"neg"
"7371",0,260.55,0.3,82.8,"neg"
"7012",2.3,295.35,0.3,100,"neg"
"5543",0,267.05,0.4,95.1,"neg"
"7754",0,279.95,1.7,4.1,"neg"
"6048",0,297.75,0.1,97.6,"neg"
"8897",3,298.75,1.4,98.9,"neg"
"8085",0,296.75,0.8,99.9,"neg"
"6677",1.5,294.65,0.1,99.9,"neg"
"9338",0,298.15,0.7,98.4,"neg"
"7522",0,296.45,0.7,99.8,"neg"
"6184",0,267.25,0.5,95.2,"neg"
"8641",8.5,294.05,1,99.8,"neg"
"9091",0,265.35,0.3,91.9,"neg"
"8733",10,292.25,0.5,99,"neg"
"7771",0,272.85,0.2,99.9,"neg"
"8643",0,298.95,0.4,96.7,"neg"
"8190",0,270.15,0.3,97.8,"neg"
"8188",0,296.85,1.1,99.9,"neg"
"8021",0,298.45,0.5,97.3,"neg"
"4995",0,296.45,0.4,98.8,"neg"
"9016",0,294.55,0.2,99.7,"neg"
"6512",0,267.55,2.8,98.6,"neg"
"6422",0,299.15,3.5,99.9,"neg"
"6731",5,297.35,0.9,98.1,"neg"
"8669",0,293.65,0.1,99.9,"neg"
"6364",3.5,296.25,0.2,97.9,"neg"
"6240",0,297.05,1.4,99.9,"neg"
"5029",9.5,293.75,7.5,97.3,"neg"
"6645",11.1,294.65,0.4,96,"neg"
"8881",0,297.75,0.7,98,"neg"
"8321",0,293.75,0.2,99.9,"neg"
"9384",10.5,292.55,1.7,99.9,"neg"
"5363",0,259.15,0.5,76.1,"neg"
"8744",0,300.05,2.2,97.9,"neg"
"8514",0,298.95,0.9,97,"neg"
"7008",0,295.45,0.4,99,"neg"
"5413",0,272.15,0.8,99.9,"neg"
"7902",0,273.65,0.3,99.9,"neg"
"6417",0.5,278.25,9.4,96.3,"neg"
"7761",0,294.25,0.5,99.9,"neg"
"8518",0.5,273.55,8.7,95.9,"neg"
"5315",0,294.75,0.7,99.9,"neg"
"5728",0,297.25,1.1,98.7,"neg"
"6444",0.5,293.15,0.3,100,"neg"
"8536",0.7,300.25,0.8,95,"neg"
"4780",0,298.15,1.7,98.7,"neg"
"6092",0,282.35,8.7,99.3,"neg"
"6195",0,298.25,1.8,98.7,"neg"
"6527",0,295.35,0.2,98.2,"neg"
"7212",0,292.75,0.1,99.6,"neg"
"9154",0,269.05,1.7,98.1,"neg"
"7043",0,298.45,1,97.1,"neg"
"8431",0,293.95,0.6,99.9,"neg"
"6983",0,293.25,0.4,99.9,"neg"
"9310",2,292.25,0.2,99.9,"neg"
"8012",0,273.75,0.1,98.9,"neg"
"5189",0,294.65,0.8,99.7,"neg"
"8080",0,296.95,5.5,99.9,"neg"
"8890",18.5,290.65,2.2,93,"neg"
"5693",0,294.35,0.7,99.6,"neg"
"6287",16.7,287.05,3,97,"neg"
"6351",0,272.25,0.7,99,"neg"
"6855",0,293.15,0.5,99.9,"neg"
"5302",0,270.45,0.2,96.2,"neg"
"4868",0,299.95,1.8,96.5,"neg"
"5968",0,293.95,0.3,98.9,"neg"
"8574",0,270.55,0.4,96.7,"neg"
"7345",0,295.25,0.2,97.7,"neg"
"9138",0,273.85,0.2,98.9,"neg"
"7540",0,295.45,0.9,99,"neg"
"6768",0,269.65,1.2,97.4,"neg"
"7086",0,293.45,0.7,99.9,"neg"
"6515",0,270.65,0.3,96.4,"neg"
"8449",0,297.25,8.2,94,"neg"
"5076",0,300.05,0.9,94.5,"neg"
"8146",0,298.05,0.2,95,"neg"
"9315",0,274.45,0.1,98.8,"neg"
"7534",1,295.75,1.8,99.9,"neg"
"5397",0,272.95,0.3,98.2,"neg"
"9722",0,270.55,2.7,99.9,"neg"
"9697",0,290.35,0.1,99.9,"neg"
"5129",0,276.15,0.2,99.8,"neg"
"8547",0,296.55,0.1,95.9,"neg"
"7935",0,268.35,0.3,93.4,"neg"
"5653",0,294.15,1.1,99.8,"neg"
"5530",0.5,290.85,0.3,100,"neg"
"7323",0,271.75,5.7,99.9,"neg"
"7444",0,293.15,0.4,99,"neg"
"4873",0,293.75,0.3,98.4,"neg"
"8550",1.5,296.95,0.5,96.3,"neg"
"5420",0,297.15,1,97.2,"neg"
"9294",0,290.85,0.3,99.9,"neg"
"7366",0.5,295.85,1.4,98.9,"neg"
"5140",9.5,293.65,2.5,98.9,"neg"
"5406",0,300.55,2.8,96,"neg"
"8130",0,293.85,1.2,99.9,"neg"
"7036",0,296.05,1.2,98.3,"neg"
"8270",0,296.25,7.6,95.8,"neg"
"9169",2,293.25,1.1,99.9,"neg"
"5799",0,291.35,0.5,99.9,"neg"
"5039",0,290.85,0.4,99.9,"neg"
"6519",0,270.15,0.6,95.8,"neg"
"5695",0.5,295.35,0.2,96.7,"neg"
"8242",0,271.15,0.4,96.3,"neg"
"5813",0,273.45,6.5,99.6,"neg"
"8590",0,295.55,0.9,98,"neg"
"5591",0,290.65,0.4,99.9,"neg"
"7408",0,257.85,1.5,67.6,"neg"
"9512",0,288.75,0.1,99.9,"neg"
"5569",13,292.05,2.9,97.3,"neg"
"8594",0,293.85,1.2,99.6,"neg"
"4940",0.5,293.95,6.6,99.3,"neg"
"8062",0,293.75,0.9,99.1,"neg"
"9003",0,268.45,1.2,94.9,"neg"
"7015",0,296.05,0.6,96.8,"neg"
"6261",0,289.55,0.3,99.9,"neg"
"9135",0.5,297.65,6.8,95.9,"neg"
"9457",0,269.35,0.1,93.2,"neg"
"8686",4.5,292.95,1,99,"neg"
"6636",0,299.35,2.5,96.5,"neg"
"7652",5,301.45,0.7,90,"neg"
"6494",1,305.75,0.4,82.3,"neg"
"9530",1,278.75,0.2,99.9,"neg"
"8943",0,294.35,1,98.6,"neg"
"7192",0,296.85,1.7,97.8,"neg"
"5497",0,278.75,0.2,99.9,"neg"
"6412",0,297.05,0.3,94.9,"neg"
"5650",0,294.85,2.2,99.9,"neg"
"7912",0,297.05,0.7,95.8,"neg"
"6595",0,293.75,1,98.9,"neg"
"9511",0,294.25,1.9,99.9,"neg"
"5021",1,298.95,3.6,97.2,"neg"
"4850",0,268.05,6.1,94.4,"neg"
"9433",0,307.25,4.1,22.9,"neg"
"9281",10.5,293.25,3,98,"neg"
"4814",0,293.65,1.5,99.7,"neg"
"6911",0,268.95,0.5,93.4,"neg"
"7525",0,297.85,0.7,94.9,"neg"
"6673",13,291.25,1.8,96,"neg"
"4969",0,289.85,0.1,98.9,"neg"
"6680",0,295.75,3.9,99.9,"neg"
"8028",0,268.55,1,94,"neg"
"8755",0,295.75,0.8,96.9,"neg"
"9060",0,264.65,0.4,86.1,"neg"
"9378",0,264.75,0.1,85.2,"neg"
"8396",0,259.45,1.3,73.5,"neg"
"9009",0,295.75,0.6,96.4,"neg"
"8162",0,292.25,0.3,98.1,"neg"
"4763",0,292.75,1.4,99.9,"neg"
"5639",3,291.55,0.7,99,"neg"
"7312",0,268.35,10.1,79.5,"neg"
"5108",0.5,297.35,1.2,96.1,"neg"
"8505",0,265.65,0.6,88.4,"neg"
"7003",0,276.45,0.8,99.9,"neg"
"9448",0,274.15,0.8,98.6,"neg"
"5928",1,293.75,1.3,99,"neg"
"4807",0,284.15,0.1,99.9,"neg"
"5993",0,293.95,0.3,96.9,"neg"
"5120",0,295.85,0.2,95.2,"neg"
"5327",0,286.05,0.2,99.9,"neg"
"8782",0,272.25,0.1,95.4,"neg"
"5566",0,270.95,0.3,94.7,"neg"
"9107",0,278.25,0.5,99.9,"neg"
"6681",0,288.55,0.5,99.9,"neg"
"5826",0.5,288.15,0.1,99.1,"neg"
"8429",0,301.55,4.2,93.7,"neg"
"8108",0,295.75,1.8,98.2,"neg"
"4942",0,290.25,0.4,99,"neg"
"9682",0,272.95,1.3,98.5,"neg"
"7343",0,278.05,0.6,99.9,"neg"
"6028",0,296.65,1.3,96.6,"neg"
"7573",0,292.85,1.7,99.9,"neg"
"5982",0.5,291.75,0.8,99,"neg"
"5250",0,298.75,1.9,95.5,"neg"
"7201",6,288.75,0.2,97.8,"neg"
"9092",0,279.95,0.4,99.9,"neg"
"9118",0,291.55,0.1,97.5,"neg"
"5586",0,287.65,0.5,99.9,"neg"
"7770",0,257.25,5,52.4,"neg"
"8968",0,297.15,2.9,97.9,"neg"
"6077",1,291.05,0.9,99.4,"neg"
"7325",0,292.25,0.8,98.6,"neg"
"6588",0.1,284.75,0.3,99.9,"neg"
"7270",0,284.55,0.3,99.9,"neg"
"5854",0,290.95,0.6,98.8,"neg"
"9316",0,294.65,0.3,95.9,"neg"
"9051",0,295.55,0.7,96.1,"neg"
"7316",0,287.95,0.2,99,"neg"
"9687",0,288.25,0.2,98.9,"neg"
"9207",0,294.35,0.5,96.5,"neg"
"9149",0,267.95,0.4,90.7,"neg"
"4870",0,288.85,0.4,99.1,"neg"
"6961",0,272.05,0.1,94.6,"neg"
"7392",0,273.75,0.1,96,"neg"
"5132",0,297.35,1.2,95.4,"neg"
"5002",0.5,290.05,0.9,99.6,"neg"
"9526",0.5,296.15,3,98.5,"neg"
"9582",0,290.15,1.1,99.9,"neg"
"7898",0,292.15,0.3,97.3,"neg"
"5705",0.5,292.95,2.1,99.9,"neg"
"7421",0,273.35,0.1,95.6,"neg"
"6424",0,279.65,0.6,99.9,"neg"
"5484",0.5,282.05,7.2,99.9,"neg"
"9324",1,298.35,1.9,95.4,"neg"
"9480",1.5,280.15,0.2,99,"neg"
"5427",0,292.35,0.9,98.4,"neg"
"7696",9.6,276.65,0.8,96,"neg"
"7057",0,288.05,0.5,99.4,"neg"
"6881",0,281.05,0.5,99.9,"neg"
"7167",0,298.55,1.3,94.2,"neg"
"6148",0,281.25,0.5,99.9,"neg"
"9021",0,284.25,0.5,100,"neg"
"5138",0,297.65,1,94.5,"neg"
"6506",0,268.75,0.9,92.8,"neg"
"5878",0,297.15,2.7,97.3,"neg"
"4982",0,292.55,1.3,98.9,"neg"
"7594",0,262.15,2.8,29.7,"neg"
"5665",0,271.35,0.2,93.9,"neg"
"8044",0,289.95,0.4,98.4,"neg"
"8388",0,290.75,1.4,99.9,"neg"
"8788",0,271.95,0.3,94.7,"neg"
"4853",4.5,294.45,0.8,96,"neg"
"6143",0,267.55,0.7,90.5,"neg"
"5500",0,283.15,0.5,99.9,"neg"
"7317",0,288.45,0.7,99.5,"neg"
"7246",0,272.45,0.7,96.1,"neg"
"5243",0,267.95,0.5,90.5,"neg"
"8682",0,296.65,0.6,94.4,"neg"
"5446",3,294.35,1.4,97.5,"neg"
"6449",0.5,288.25,0.9,99.9,"neg"
"8576",0,275.85,0.4,97.7,"neg"
"7981",0,284.05,7.1,99.9,"neg"
"8078",0,296.45,5.2,97.5,"neg"
"5896",1,298.25,2,95.3,"neg"
"7511",0,294.15,2.3,99,"neg"
"4935",0,296.65,8.8,89.1,"neg"
"5262",1.1,286.25,0.3,99,"neg"
"6919",0,297.05,2,96.4,"neg"
"5748",0,282.25,0.2,99,"neg"
"7498",0,266.25,0.5,87.5,"neg"
"9444",0,298.15,1.7,94.9,"neg"
"6386",0.2,295.75,0.6,95,"neg"
"7880",0.5,293.85,1.7,98.4,"neg"
"5810",0,292.35,0.4,96.9,"neg"
"8957",0.5,294.65,0.3,95.1,"neg"
"6170",0,301.65,2.5,91.7,"neg"
"6511",2,291.45,5.7,99.9,"neg"
"8189",0,266.55,0.2,86.9,"neg"
"9708",0,301.15,2.7,92.5,"neg"
"7690",14,292.55,3.5,94,"neg"
"8077",11,293.15,3,96,"neg"
"6832",0,295.15,6.2,97,"neg"
"8306",0,275.45,0.3,96.9,"neg"
"5409",0,288.85,0.2,97.9,"neg"
"8889",0,297.05,1.6,95.6,"neg"
"9276",0.5,284.15,0.7,99.9,"neg"
"5783",0,283.95,0.7,99.9,"neg"
"7038",0,282.85,0.7,99.9,"neg"
"8131",0,291.75,0.2,96.5,"neg"
"8149",0,293.25,3.4,99.9,"neg"
"5218",5,296.45,0.5,92.9,"neg"
"9659",0.5,298.35,2.1,94.9,"neg"
"5602",0,300.55,1.6,91.6,"neg"
"8712",0,285.75,0.6,99.4,"neg"
"9691",1.5,293.85,0.6,96,"neg"
"6254",0,292.65,2.8,99.9,"neg"
"8259",1.5,289.65,0.5,98,"neg"
"7210",1,279.15,1.1,99.9,"neg"
"7105",0,265.75,0.9,87.1,"neg"
"8572",0,289.05,0.1,97.3,"neg"
"6592",0,285.25,0.4,98.9,"neg"
"8365",0.5,281.15,0.8,99.7,"neg"
"7875",0,280.55,0.9,99.8,"neg"
"7236",0,296.35,1.2,95.2,"neg"
"7994",0,298.25,1.5,93.9,"neg"
"7961",0,281.55,0.9,99.9,"neg"
"7027",0,287.05,1.1,99.9,"neg"
"9170",0,285.25,0.1,98.1,"neg"
"5771",0,289.85,1.1,99,"neg"
"6917",7,289.55,3.6,99.9,"neg"
"8729",3,292.85,3.7,99.6,"neg"
"7257",0,280.65,0.3,98.4,"neg"
"5972",0,265.45,1.1,86.8,"neg"
"6618",0,288.25,6.3,99.9,"neg"
"5275",2.5,279.55,7.1,98.4,"neg"
"5159",0,289.35,0.4,97.7,"neg"
"6393",0,273.25,0.1,94.3,"neg"
"5271",0,288.15,8.4,95.1,"neg"
"6147",0,265.05,0.3,83.3,"neg"
"7967",1,267.75,2.2,92.6,"neg"
"9230",0,293.95,0.5,95.4,"neg"
"9298",0,269.75,0.4,91.5,"neg"
"5708",0,259.75,4.8,73.8,"neg"
"6743",0,273.35,0.6,95.6,"neg"
"5451",0,295.55,1.1,95.4,"neg"
"6172",0.5,292.25,4.2,100,"neg"
"7414",0,269.45,0.1,90.1,"neg"
"5067",0,273.25,0.5,95.2,"neg"
"9172",0,275.25,0.5,96.6,"neg"
"9024",0,292.15,2,99,"neg"
"5776",0,289.15,1.1,99,"neg"
"5314",0,281.65,0.7,99.2,"neg"
"7254",3,297.25,1.4,94,"neg"
"6600",0,290.75,0.9,97.9,"neg"
"5918",0,296.85,0.7,93.2,"neg"
"7671",0,295.05,0.8,95,"neg"
"7707",0,285.95,1.2,99.9,"neg"
"7123",0,272.05,3.4,98.1,"neg"
"8927",0,273.85,4.1,12.3,"neg"
"8476",0,279.85,7.3,97.9,"neg"
"5074",0,300.15,6.3,90.9,"neg"
"9304",0,291.15,0.3,96.3,"neg"
"6647",0.3,296.15,1.3,95,"neg"
"6807",0,290.85,0.5,96.9,"neg"
"9254",0,285.45,1.2,99.9,"neg"
"8583",0,297.75,1.6,94,"neg"
"8386",0,300.45,0.8,89.1,"neg"
"8619",5,295.35,1.7,95.4,"neg"
"7907",0,274.35,1,96.9,"neg"
"6274",0,294.05,5.4,97.9,"neg"
"6517",0,274.05,0.3,95,"neg"
"8254",0,282.05,0.3,98.1,"neg"
"8958",0,295.85,4.5,97.2,"neg"
"6245",0,275.75,0.7,97,"neg"
"5117",0,274.85,3.1,99.8,"neg"
"7610",0,294.35,0.6,94.8,"neg"
"8868",0,277.85,0.3,97,"neg"
"7093",0,298.05,4,95.3,"neg"
"6201",0,285.15,1.3,99.9,"neg"
"7807",0,272.35,0.9,94.9,"neg"
"6614",0,286.75,1.5,99.9,"neg"
"9205",0,265.35,4.6,24.4,"neg"
"6827",0,292.75,0.4,95.3,"neg"
"5588",0,273.15,0.4,94.3,"neg"
"5073",0,297.95,1.5,93.3,"neg"
"7962",0,300.95,1.3,89.2,"neg"
"6657",0,290.65,0.7,97.1,"neg"
"5466",0,267.75,4.5,20.2,"neg"
"6573",0,272.95,0.9,95.3,"neg"
"8585",0,298.35,0.6,90.8,"neg"
"9079",0,287.65,0.2,97,"neg"
"6545",0.5,271.95,1.2,95,"neg"
"4993",0,285.15,0.7,98.6,"neg"
"9263",0,267.95,0.4,88,"neg"
"5811",1.5,291.55,7,11.1,"neg"
"8691",0,281.75,1.4,99.9,"neg"
"5062",0,298.95,1.1,91.2,"neg"
"7379",0,296.85,0.6,92.3,"neg"
"7391",0,295.05,1,94.8,"neg"
"8290",0,298.45,0.1,89.1,"neg"
"7787",0,282.45,1.4,99.9,"neg"
"7424",3,290.15,3.2,99.9,"neg"
"7168",0,274.95,0.3,95.1,"neg"
"6275",0,262.05,0.8,74.5,"neg"
"4984",0,297.85,1.8,93.6,"neg"
"8513",0,286.75,1.5,99.6,"neg"
"6626",0,301.25,2.2,90,"neg"
"5444",0,273.55,0.2,93.7,"neg"
"6915",0,300.15,1.6,90.5,"neg"
"6045",0,308.15,0.8,38.6,"neg"
"5404",0,298.95,0.7,90,"neg"
"7719",0,296.45,4,96.3,"neg"
"5368",0,288.65,0.6,97.3,"neg"
"9600",0,284.35,0.9,98.8,"neg"
"9104",0,299.15,4.4,93.5,"neg"
"5350",1.5,293.75,1.3,96,"neg"
"4768",0,289.05,2.4,99.9,"neg"
"7838",0,269.65,0.2,89.4,"neg"
"7272",0,295.15,1.8,95.8,"neg"
"9487",0,293.65,1,95.5,"neg"
"5927",0,294.85,0.6,93.7,"neg"
"6302",0,276.95,0.1,95.4,"neg"
"5722",0,283.75,1,98.9,"neg"
"5414",0,291.95,0.1,94.4,"neg"
"6100",0,283.25,1.6,99.9,"neg"
"6182",3.5,291.35,4.3,99,"neg"
"8240",0,276.85,2.7,99.9,"neg"
"6006",0,297.85,0.5,90.5,"neg"
"8520",0,272.85,0.2,92.8,"neg"
"8353",0,289.95,1.1,97.6,"neg"
"6290",0,281.25,0.2,96.9,"neg"
"6910",0,287.65,5.8,99.5,"neg"
"4785",0,269.25,0.8,90.4,"neg"
"9333",0,289.55,4.7,99.9,"neg"
"9699",0,294.35,1.6,95.9,"neg"
"8245",0,279.25,0.2,96.4,"neg"
"5501",0,289.65,0.5,96.4,"neg"
"6986",0,291.05,0.7,96.2,"neg"
"5656",0,294.45,2.9,97.2,"neg"
"6956",0,288.75,0.6,96.9,"neg"
"6501",0,291.45,1.9,98,"neg"
"6430",0,281.45,0.1,96.5,"neg"
"8241",0,281.05,1.1,98.7,"neg"
"8845",0,265.45,10,55.9,"neg"
"6946",0,270.75,1.9,94.3,"neg"
"5824",0.5,287.65,1.6,99,"neg"
"6930",0,274.55,1.4,96.7,"neg"
"8026",0,286.55,2.1,99.9,"neg"
"7795",0,298.75,1.2,90.8,"neg"
"6070",0,300.55,5.9,89.6,"neg"
"6436",0,293.15,1.2,95.8,"neg"
"5950",0,286.55,0.2,96.4,"neg"
"7924",0,292.85,4.4,98.2,"neg"
"6310",0,294.95,0.4,92.6,"neg"
"4771",0,290.65,2.7,99,"neg"
"7957",0.5,286.75,1.3,98.6,"neg"
"8479",0,286.85,2.3,99.9,"neg"
"6521",0,280.05,0.1,96,"neg"
"7615",0,275.95,1.8,98,"neg"
"7184",7.5,291.65,5,96.5,"neg"
"7161",0,298.65,0.7,89.5,"neg"
"4797",0,298.25,0.6,89.7,"neg"
"9367",0,291.15,4.3,99,"neg"
"7672",0,271.65,0.8,92.7,"neg"
"5462",0,298.35,1.6,91.8,"neg"
"8648",0,262.25,0.6,71.7,"neg"
"5458",0,283.35,0.3,96.8,"neg"
"6267",1.5,288.05,0.7,96.9,"neg"
"6300",0,288.65,3.2,99.9,"neg"
"5087",0,271.25,0.3,90.8,"neg"
"5379",0,285.85,1.5,98.9,"neg"
"4813",0.5,286.85,5.1,99.9,"neg"
"5882",0,291.65,8.3,91.7,"neg"
"7619",0.5,282.45,0.4,96.9,"neg"
"9004",0,286.55,1.9,99.3,"neg"
"8741",0,296.45,2,94.2,"neg"
"9714",0,292.55,0.9,95.2,"neg"
"6273",0,276.95,1.9,98.4,"neg"
"8701",1.5,288.55,5.1,99.3,"neg"
"6387",0,289.85,7.2,95.6,"neg"
"6307",0,294.95,5.2,95.9,"neg"
"5162",1.5,284.55,0.7,97.4,"neg"
"9603",0.4,295.65,0.2,91,"neg"
"7772",0,286.75,1.1,97.9,"neg"
"6145",0,283.25,1,98.1,"neg"
"6675",0,286.35,0.1,95.7,"neg"
"7063",0,298.85,0.9,89.3,"neg"
"8356",0,295.25,0.6,92.3,"neg"
"5980",0,291.75,0.4,94.3,"neg"
"8852",0,289.55,1.1,96.9,"neg"
"5669",0.5,274.95,3.2,98.4,"neg"
"6008",0,298.65,4.2,92.9,"neg"
"4822",2,293.35,0.8,94,"neg"
"6632",0,274.25,0.5,93.7,"neg"
"9119",0,277.95,2.2,98.9,"neg"
"5703",0,294.35,0.9,93.6,"neg"
"6439",0,296.65,1.1,92,"neg"
"8549",0,282.55,0.2,96,"neg"
"5770",0,285.15,0.8,97.3,"neg"
"6864",0,288.55,1,96.9,"neg"
"7835",0,281.85,0.2,95.9,"neg"
"5933",0,293.35,1.9,96,"neg"
"6692",0,298.25,0.2,87.7,"neg"
"8625",0,288.15,0.3,95.4,"neg"
"9449",0,282.85,0.6,96.9,"neg"
"5093",0,291.75,0.4,94,"neg"
"9466",0,295.35,1.6,94,"neg"
"8419",1.5,277.65,1.8,98,"neg"
"5870",0,280.15,2.3,99.4,"neg"
"6581",0,271.15,4.2,17.5,"neg"
"8577",0,302.45,2.6,86.7,"neg"
"7741",0,267.25,0.1,83.1,"neg"
"5113",0,277.65,2.5,98.9,"neg"
"5605",0,266.05,0.3,81.2,"neg"
"5794",0,286.15,1.5,98.2,"neg"
"8003",0,274.85,0.9,94.8,"neg"
"7115",0,297.15,1.9,92.7,"neg"
"5366",0,269.65,0.2,87.5,"neg"
"6695",0,283.75,0.6,96.7,"neg"
"7332",0,281.15,0.8,97,"neg"
"6305",0,273.75,0.8,93.7,"neg"
"5369",2.1,292.95,6.8,94,"neg"
"9287",0,292.25,2.4,97,"neg"
"7395",0,285.15,0.1,95.3,"neg"
"6585",0,284.85,3,99.9,"neg"
"8378",1,291.65,1.7,96.4,"neg"
"7351",0,275.35,0.2,93.2,"neg"
"5745",0,267.65,1.3,87.5,"neg"
"8462",0,287.45,1,96.9,"neg"
"6176",3,288.85,5.5,97.9,"neg"
"8073",0,293.55,0.8,93.5,"neg"
"7782",0,300.15,0.4,85.2,"neg"
"9165",0,279.35,2.6,99.3,"neg"
"8050",0,292.55,4,97.4,"neg"
"8563",0,285.85,0.3,95.6,"neg"
"6660",0,279.45,1.4,97.7,"neg"
"5880",0,277.15,2.9,98.8,"neg"
"6225",0,285.75,5.4,99,"neg"
"6560",0,299.05,0.3,86.4,"neg"
"7519",0,277.65,1.9,97.9,"neg"
"6350",0.5,279.95,0.6,96.1,"neg"
"6362",0,297.25,0.7,89.8,"neg"
"8674",0,299.85,2,89.4,"neg"
"9366",0,286.25,1.7,98.2,"neg"
"7334",0,298.05,0.4,87.9,"neg"
"5724",0.5,287.95,1.1,96.7,"neg"
"5805",0,297.45,1.3,90.9,"neg"
"8296",0,283.35,0.4,95.9,"neg"
"7989",0.5,292.85,5.6,95.9,"neg"
"7378",0,280.35,3.3,99.7,"neg"
"7145",0,285.15,1.4,97.8,"neg"
"8101",0.5,283.45,3.9,99.9,"neg"
"7952",10,285.55,0.2,91.3,"neg"
"7233",0,262.45,0.1,61.1,"neg"
"6793",4,298.05,0.7,87.9,"neg"
"5176",0,282.55,1.2,97.5,"neg"
"7295",0,276.35,1.6,96.6,"neg"
"5221",0,295.75,3.4,94.8,"neg"
"8838",0,281.75,0.5,95.9,"neg"
"9623",0.1,276.05,0.9,95,"neg"
